IATA,ICAO,NAME,COUNTRY,ELEVATION,LATITUDE,LONGITUDE,WIKIPEDIA
AAA,NTGA,Anaa Airport,PF,597 feet,"17° 21' 9.36"" S","145° 30' 35.98"" W",https://en.wikipedia.org/wiki/Anaa_Airport
AAB,YARY,Arrabury Airport,AU,0 feet,"26° 42' 0.00"" S","141° 3' 0.01"" E",https://en.wikipedia.org/wiki/Arrabury_Airport
AAC,HEAR,El Arish International Airport,EG,121 feet,"31° 4' 23.88"" N","33° 50' 8.88"" E",https://en.wikipedia.org/wiki/El_Arish_International_Airport
AAE,DABB,Rabah Bitat Airport (Les Salines Airport),DZ,16 feet,"36° 49' 19.92"" N","7° 48' 33.01"" E",https://en.wikipedia.org/wiki/Rabah_Bitat_Airport
AAF,KAAF,Apalachicola Municipal Airport,US,20 feet,"29° 43' 39.40"" N","85° 1' 38.70"" W",https://en.wikipedia.org/wiki/Apalachicola_Regional_Airport
AAG,SSYA,Arapoti Airport,BR,"2,641 feet","24° 6' 13.95"" S","49° 47' 20.68"" W",https://en.wikipedia.org/wiki/Avelino_Vieira_Airport
AAH,EDKA,Aachen-Merzbrück Airport,DE,0 feet,"50° 49' 23.00"" N","6° 11' 11.00"" E",https://en.wikipedia.org/wiki/Aachen_Merzbrück_Airfield
AAI,SWRA,Arraias Airport,BR,0 feet,"13° 1' 26.00"" S","46° 53' 8.00"" W",https://en.wikipedia.org/wiki/Arraias_Airport
AAK,NGUK,Aranuka Airport,KI,0 feet,"0° 11' 7.00"" N","173° 38' 13.18"" E",https://en.wikipedia.org/wiki/Aranuka_Airport
AAL,EKYT,Aalborg Airport,DK,10 feet,"57° 5' 33.93"" N","9° 50' 57.28"" E",https://en.wikipedia.org/wiki/Aalborg_Airport
AAM,FAMD,Mala Mala Airport,ZA,"1,124 feet","24° 49' 5.16"" S","31° 32' 40.56"" E",
AAN,OMAL,Al Ain International Airport,AE,869 feet,"24° 15' 42.12"" N","55° 36' 33.12"" E",https://en.wikipedia.org/wiki/Al_Ain_International_Airport
AAO,SVAN,Anaco Airport,VE,"1,421 feet","9° 25' 48.81"" N","64° 28' 14.61"" W",https://en.wikipedia.org/wiki/Anaco_Airport
AAP,KAAP,Andrau Airpark,US,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",
